Product_Name, PlatForm, Price_Down, Original_Price,Price, RatePercent, User_Amount,,
Paradox Interactive Collection,['win'],,$936.49 ,$681.43 ,83%,227489,,
Rainbow Six Bundle,['win'],-34%,$79.95 ,$48.55 ,78%,201268,,
Tom Clancy's Rainbow Six® Siege,['win'],-65%,$39.99 ,$13.99 ,78%,197517,,
Rocket League®,['win'/ 'mac'/ 'lin'],-50%,$19.99 ,$9.99 ,91%,165325,,
ARK: Survival Evolved Explorer's Edition,['win'/ 'mac'/ 'lin'],-51%,$94.98 ,$46.77 ,69%,162439,,
ARK: Survival Evolved,['win'/ 'mac'/ 'lin'],-60%,$49.99 ,$19.99 ,68%,155562,,
Tripwire Complete Bundle,[],-75%,$408.60 ,$194.00 ,88%,98350,,
STAR WARS™ Complete Collection,['win'],-30%,$282.75 ,$215.74 ,88%,75654,,
This War of Mine and Frostpunk,['win'],-40%,$49.98 ,$36.07 ,92%,53619,,
Sid Meier’s Civilization VI Gold Edition,['win'/ 'mac'/ 'lin'],-69%,$127.92 ,$39.98 ,63%,36326,,
Sid Meier’s Civilization® VI,['win'/ 'mac'/ 'lin'],-70%,$59.99 ,$18.00 ,66%,31684,,
Zup-qop! For gifts,['win'],-10%,$14.85 ,$13.22 ,92%,21699,,
Zup-qop!,['win'],,$14.85 ,$13.22 ,92%,21697,,
Zup-Zup!,['win'],-30%,$11.88 ,$10.55 ,92%,21228,,
Zup-Zup! For gifts,['win'],-30%,$11.88 ,$10.55 ,92%,21224,,
Planet Coaster Deluxe Edition,['win'],-52%,$99.94 ,$47.74 ,87%,19040,,
Rising Storm 2: Vietnam - Complete Bundle,['win'],-30%,$100.90 ,$33.98 ,76%,18765,,
Planet Coaster,['win'],-60%,$44.99 ,$17.99 ,88%,18647,,
Rising Storm 2: Vietnam,['win'],-67%,$24.99 ,$8.25 ,76%,18483,,
Warhammer: Vermintide 2 - Collector's Edition,['win'],-50%,$44.99 ,$22.49 ,72%,18267,,
Warhammer: Vermintide 2,['win'],-50%,$29.99 ,$14.99 ,72%,18042,,
World of Magicka Bundle,['win'],-67%,$105.72 ,$34.83 ,87%,16828,,
Frostpunk,['win'],-33%,$29.99 ,$20.09 ,85%,14475,,
Magicka,['win'],-75%,$9.99 ,$2.49 ,91%,12526,,
Steam Controller and Link,['win'/ 'mac'/ 'lin'],-64%,$99.98 ,$35.61 ,73%,12509,,
Steam Controller,['win'/ 'mac'/ 'lin'],-30%,$49.99 ,$34.99 ,73%,7384,,
Steam Link,['win'/ 'mac'/ 'lin'],-95%,$49.99 ,$2.50 ,73%,5125,,
Daedalic Artist Selection Bundle,['win'/ 'mac'],,$130.92 ,$42.68 ,85%,4880,,
Dinosaur Hunt XXL Edition,['win'/ 'mac'/ 'lin'],-58%,$64.78 ,$6.10 ,60%,4473,,
Daedalic Halloween Bundle,['win'/ 'mac'],-50%,$64.95 ,$23.54 ,80%,4458,,
Daedalic Adventure Bundle II,['win'/ 'mac'],,$79.95 ,$27.45 ,84%,4017,,
BIT.TRIP Collection,['win'/ 'mac'],,$49.99 ,$8.99 ,87%,3994,,
ARK: Scorched Earth - Expansion Pack,['win'/ 'mac'/ 'lin'],-60%,$19.99 ,$7.99 ,77%,3705,,
NBA 2K19,['win'],-50%,$59.99 ,$29.99 ,22%,3677,,
The Daedalic Comedy Selection,['win'],-33%,$29.99 ,$8.99 ,87%,3667,,
Magicka 2,['win'/ 'mac'/ 'lin'],-75%,$14.99 ,$3.74 ,76%,3632,,
Surviving Mars,['win'/ 'mac'/ 'lin'],-30%,$29.99 ,$20.99 ,66%,3326,,
Monkey Island Collection,['win'],-50%,$33.96 ,$24.15 ,95%,3293,,
Tom Clancy's Rainbow Six® Siege - Year 3 Pass,['win'],-30%,$29.99 ,$20.99 ,84%,3173,,
Civilization VI – Civilization & Scenario Pack Bundle,['win'/ 'mac'/ 'lin'],-33%,$37.94 ,$20.08 ,29%,3092,,
Bit.Trip.Runner Franchise Pack,['win'/ 'mac'],,$16.99 ,$5.94 ,91%,3010,,
ARCADE ONSLAUGHT,['win'],-50%,$18.87 ,$12.71 ,91%,2734,,
TrackMania² Stadium,['win'],-50%,$9.99 ,$4.99 ,81%,2569,,
Dinosaur Hunt Special Edition,['win'/ 'mac'/ 'lin'],,$13.89 ,$1.25 ,64%,2558,,
Dinosaur Hunt,['win'/ 'mac'/ 'lin'],-40%,$0.99 ,$0.49 ,64%,2443,,
Owlboy Collector's Edition,['win'/ 'mac'/ 'lin'],-51%,,,90%,2253,,
ARK: Aberration - Expansion Pack,['win'/ 'mac'/ 'lin'],-50%,$19.99 ,$9.99 ,74%,2069,,
NukGames Complete Bundle,['win'],-51%,$14.85 ,$2.80 ,86%,2035,,
8-Bit Complete Collection,['win'],-60%,$60.93 ,$35.91 ,81%,1971,,
Action Bundle,['win'],,$115.51 ,$101.75 ,51%,1947,,
Blackguards,['win'],-34%,$9.99 ,$1.99 ,63%,1922,,
Soul Gambler: Dark Arts Edition,['win'],-90%,$3.99 ,$0.51 ,88%,1899,,
Soul Gambler,['win'],,$3.99 ,$0.51 ,88%,1856,,
Get Some,['win'],,$74.56 ,$29.04 ,52%,1847,,
Deponia: The Complete Journey,['win'/ 'mac'/ 'lin'],-85%,$29.99 ,$4.49 ,88%,1754,,
Tormentum - Dark Sorrow,['win'/ 'mac'],-15%,$11.99 ,$7.19 ,93%,1617,,
Solitaire Collection,['win'/ 'mac'],-51%,$49.95 ,$30.70 ,90%,1590,,
Rocket League® - Supersonic Fury DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99 ,$1.99 ,95%,1568,,
BIT.TRIP RUNNER,['win'/ 'mac'],-40%,$9.99 ,$0.99 ,88%,1562,,
