Product_Name, PlatForm, Price_Down, Original_Price,Price, RatePercent, User_Amount
Rocket League®,['win'/ 'mac'/ 'lin'],-50%,$19.99,$9.99,92%,179212
Total War: ATTILA,['win'/ 'mac'/ 'lin'],-80%,$44.99,$8.99,73%,10954
Worms W.M.D,['win'/ 'mac'/ 'lin'],-66%,$29.99,$10.19,78%,1789
Warhammer 40 000: Inquisitor - Martyr,['win'],-25%,$49.99,$37.49,61%,4005
Asterix & Obelix XXL 2,['win'/ 'mac'],-10%,$29.99,$26.99,81%,11
Mafia III,['win'/ 'mac'],-75%,$39.99,$10.00,48%,13415
BATTLETECH Flashpoint,['win'/ 'mac'/ 'lin'],-10%,$19.99,$17.99,44%,49
BATTLETECH,['win'/ 'mac'/ 'lin'],-30%,$39.99,$27.99,73%,6070
Worms Collection,['win'],-81%,$216.78,$41.10,83%,13002
The Elder Scrolls® Online,['win'/ 'mac'],-50%,$19.99,$9.99,77%,32714
Mafia Triple Pack,['win'],-71%,$84.97,$24.75,73%,30918
Worms Armageddon,['win'],-80%,$14.99,$2.99,93%,2421
R-Type Dimensions EX,['win'],-20%,$14.99,$11.99,95%,23
Insurgency: Sandstorm,['win'],-10%,$29.99,$26.99,0%,0
Rocket League® - Supersonic Fury DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99,$1.99,95%,1574
Rocket League® - Chaos Run DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99,$1.99,92%,365
Rocket League® - Revenge of the Battle-Cars DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99,$1.99,93%,352
BATTLETECH Digital Deluxe Content,['win'/ 'mac'/ 'lin'],-20%,$12.99,$10.39,87%,24
Total War: ATTILA - Age of Charlemagne Campaign Pack,['win'/ 'mac'/ 'lin'],-66%,$14.99,$5.09,68%,750
Darksiders Blades & Whip Franchise Pack,['win'],-23%,$129.97,$99.99,77%,10732
Out of the Park Baseball 19,['win'/ 'mac'/ 'lin'],-50%,$19.99,$9.99,83%,406
Total War: ATTILA - The Last Roman Campaign Pack,['win'/ 'mac'/ 'lin'],-66%,$14.99,$5.09,69%,264
Worms Ultimate Mayhem,['win'],-80%,$14.99,$2.99,88%,1548
覇県を握れ ～47都道府県大戦～,['win'],-30%,$39.99,$27.99,0%,0
Rise to Ruins,['win'/ 'mac'/ 'lin'],-50%,$9.99,$4.99,92%,1994
Rocket League®,['win'/ 'mac'/ 'lin'],-50%,$19.99,$9.99,92%,179212
Total War: ATTILA,['win'/ 'mac'/ 'lin'],-80%,$44.99,$8.99,73%,10954
Worms W.M.D,['win'/ 'mac'/ 'lin'],-66%,$29.99,$10.19,78%,1789
Warhammer 40 000: Inquisitor - Martyr,['win'],-25%,$49.99,$37.49,61%,4005
Asterix & Obelix XXL 2,['win'/ 'mac'],-10%,$29.99,$26.99,81%,11
Mafia III,['win'/ 'mac'],-75%,$39.99,$10.00,48%,13415
BATTLETECH Flashpoint,['win'/ 'mac'/ 'lin'],-10%,$19.99,$17.99,44%,49
BATTLETECH,['win'/ 'mac'/ 'lin'],-30%,$39.99,$27.99,73%,6070
Worms Collection,['win'],-81%,$216.78,$41.10,83%,13002
The Elder Scrolls® Online,['win'/ 'mac'],-50%,$19.99,$9.99,77%,32714
Mafia Triple Pack,['win'],-71%,$84.97,$24.75,73%,30918
Worms Armageddon,['win'],-80%,$14.99,$2.99,93%,2421
R-Type Dimensions EX,['win'],-20%,$14.99,$11.99,95%,23
Insurgency: Sandstorm,['win'],-10%,$29.99,$26.99,0%,0
Rocket League® - Supersonic Fury DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99,$1.99,95%,1574
Rocket League® - Chaos Run DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99,$1.99,92%,365
Rocket League® - Revenge of the Battle-Cars DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99,$1.99,93%,352
BATTLETECH Digital Deluxe Content,['win'/ 'mac'/ 'lin'],-20%,$12.99,$10.39,87%,24
Total War: ATTILA - Age of Charlemagne Campaign Pack,['win'/ 'mac'/ 'lin'],-66%,$14.99,$5.09,68%,750
Darksiders Blades & Whip Franchise Pack,['win'],-23%,$129.97,$99.99,77%,10732
Out of the Park Baseball 19,['win'/ 'mac'/ 'lin'],-50%,$19.99,$9.99,83%,406
Total War: ATTILA - The Last Roman Campaign Pack,['win'/ 'mac'/ 'lin'],-66%,$14.99,$5.09,69%,264
Worms Ultimate Mayhem,['win'],-80%,$14.99,$2.99,88%,1548
覇県を握れ ～47都道府県大戦～,['win'],-30%,$39.99,$27.99,0%,0
Rise to Ruins,['win'/ 'mac'/ 'lin'],-50%,$9.99,$4.99,92%,1994
Total War: ATTILA - Empires of Sand Culture Pack,['win'/ 'mac'/ 'lin'],-66%,$7.99,$2.71,87%,206
Worms Revolution,['win'],-80%,$14.99,$2.99,84%,2880
Total War: ATTILA - Slavic Nations Culture Pack,['win'/ 'mac'/ 'lin'],-66%,$7.99,$2.71,70%,184
Battle Brothers,['win'],-40%,$29.99,$17.99,87%,4729
Worms Clan Wars,['win'/ 'mac'/ 'lin'],-80%,$24.99,$4.99,76%,1327
Total War: ATTILA - Celts Culture Pack,['win'/ 'mac'/ 'lin'],-66%,$7.99,$2.71,77%,114
Total War: ATTILA - Viking Forefathers Culture Pack,['win'/ 'mac'],-66%,$7.99,$2.71,60%,193
